"sale_price","sale_date","address","beds","full_baths","half_baths","sqft","acres","lat","long"
NA,2025-09-09,"2255 INDIAN CREEK DR, ANN ARBOR, MI 48105",4,2,1,2764,0.315,42.319899216724,-83.726679077979
NA,2025-09-08,"605 SNYDER AV, Ann Arbor, MI 48103",3,2,0,1152,0.222,42.264874640197,-83.75475799687
NA,2025-09-08,"1743 WALTHAM DR, Ann Arbor, MI 48103",3,2,1,1336,0.172,42.258916826972,-83.775774423834
NA,2025-09-08,"2100 DEVONSHIRE RD, Ann Arbor, MI 48104",4,4,1,2902,0.638,42.268071136443,-83.719555432482
NA,2025-09-08,"3073 N SPURWAY DR, ANN ARBOR, MI 48105",0,2,1,2403,NA,42.319135922365,-83.710993790104
NA,2025-09-08,"2424 MULBERRY CT, Ann Arbor, MI 48104",2,1,2,1476,NA,42.25251871121,-83.723248364894
NA,2025-09-08,"2515 MEADE CT, ANN ARBOR, MI 48105",3,2,1,1508,NA,42.309976158005,-83.710404531401
251450,2025-09-08,"1535 S MAPLE RD, Ann Arbor, MI 48103",1,1,0,1080,0.455,42.262304379749,-83.779614618815
1200000,2025-09-05,"1214 S SEVENTH ST, Ann Arbor, MI 48103",4,3,1,2042,0.318,42.266409082331,-83.758305232775
720000,2025-09-05,"2222 DELAWARE DR, Ann Arbor, MI 48103",4,3,1,2392,0.22,42.253407075033,-83.765872619128
NA,2025-09-05,"2690 OVERRIDGE DR, Ann Arbor, MI 48104",0,1,1,1488,0.604,42.261832375162,-83.706577967082
505000,2025-09-05,"3380 TACOMA CIR, Ann Arbor, MI 48108",0,1,2,2367,0.183,42.239168903371,-83.728447229585
NA,2025-09-05,"1943 IVYWOOD DR, Ann Arbor, MI 48103",5,2,1,2301,0.305,42.271876739987,-83.772838160422
NA,2025-09-05,"3780 WINDEMERE DR, ANN ARBOR, MI 48105",4,2,2,2804,0.314,42.289614002718,-83.686372286461
1,2025-09-05,"2831 WHITEWOOD ST, Ann Arbor, MI 48104",1,1,0,614,NA,42.247186682602,-83.690488660278
427000,2025-09-05,"814 W JEFFERSON ST, Ann Arbor, MI 48103",3,2,1,1254,0.101,42.276013531127,-83.757470438565
